pipeline,method,avg_bits,accuracy,size_mb,qat,delta_vs_fp32,compression_x
B,Uniform-4.5-PTQ,4.0,0.048,12.066680908203125,False,-50.1,6.873611852271491
F,HAWQv2-4.5-PTQ,4.5,0.3048,13.332305908203125,False,-24.42,6.221105447120788
D,HAWQv1-4.5-PTQ,4.506944444444445,0.3086,13.349884033203125,False,-24.040000000000006,6.212913962541919
D,HAWQv1-5-PTQ,5.0,0.4968,14.597930908203125,False,-5.220000000000002,5.681742257157491
F,HAWQv2-5-PTQ,5.0,0.4968,14.597930908203125,False,-5.220000000000002,5.681742257157491
B,Uniform-5-PTQ,5.0,0.4968,14.597930908203125,False,-5.220000000000002,5.681742257157491
B,Uniform-5.5-PTQ,5.0,0.4968,14.597930908203125,False,-5.220000000000002,5.681742257157491
F,HAWQv2-5.5-PTQ,5.5,0.5182,15.863555908203125,False,-3.080000000000005,5.2284419324493046
D,HAWQv1-5.5-PTQ,5.506944444444445,0.5228,15.881134033203125,False,-2.62,5.22265480127519
D,HAWQv1-6-PTQ,6.0,0.541,17.129180908203125,False,-0.8000000000000007,4.842127673979002
F,HAWQv2-6-PTQ,6.0,0.541,17.129180908203125,False,-0.8000000000000007,4.842127673979002
B,Uniform-6-PTQ,6.0,0.541,17.129180908203125,False,-0.8000000000000007,4.842127673979002
A,FP32,32.0,0.549,82.94168090820312,False,0.0,1.0
E,HAWQv1-4-QAT,4.0,0.4532,12.066680908203125,True,-9.580000000000005,6.873611852271491
G,HAWQv2-4-QAT,4.0,0.4496,12.066680908203125,True,-9.940000000000005,6.873611852271491
C,Uniform-4-QAT,4.0,0.4508,12.066680908203125,True,-9.820000000000007,6.873611852271491
E,HAWQv1-5-QAT,5.0,0.5308,14.597930908203125,True,-1.8199999999999994,5.681742257157491
G,HAWQv2-5-QAT,5.0,0.5312,14.597930908203125,True,-1.7800000000000038,5.681742257157491
C,Uniform-5-QAT,5.0,0.5356,14.597930908203125,True,-1.3400000000000079,5.681742257157491
